id,first_name,second_name,now_cost,name,short_name,position
409,Angelo,Ogbonna,49,West Ham,WHU,DEF
410,Winston,Reid,39,West Ham,WHU,DEF
411,Aaron,Cresswell,54,West Ham,WHU,DEF
414,Craig,Dawson,49,West Ham,WHU,DEF
415,Ryan,Fredericks,44,West Ham,WHU,DEF
417,Arthur,Masuaku,44,West Ham,WHU,DEF
418,Vladimir,Coufal,47,West Ham,WHU,DEF
424,Issa,Diop,43,West Ham,WHU,DEF
425,Ben,Johnson,39,West Ham,WHU,DEF
521,Frederik,Alves,40,West Ham,WHU,DEF
554,Jamal,Baptiste,40,West Ham,WHU,DEF
617,Harrison,Ashby,40,West Ham,WHU,DEF
644,Ajibola,Alese,40,West Ham,WHU,DEF
682,Pierre,Ekwah,40,West Ham,WHU,DEF
147,James,Tomkins,43,Crystal Palace,CRY,DEF
150,Cheikhou,Kouyaté,45,Crystal Palace,CRY,DEF
151,Martin,Kelly,38,Crystal Palace,CRY,DEF
158,Jarosław,Jach,43,Crystal Palace,CRY,DEF
161,Nathan,Ferguson,45,Crystal Palace,CRY,DEF
162,Tyrick,Mitchell,45,Crystal Palace,CRY,DEF
474,Joel,Ward,45,Crystal Palace,CRY,DEF
477,Marc,Guéhi,45,Crystal Palace,CRY,DEF
488,Joachim,Andersen,45,Crystal Palace,CRY,DEF
493,Nathaniel,Clyne,43,Crystal Palace,CRY,DEF
540,Reece,Hannam,39,Crystal Palace,CRY,DEF
709,Tayo,Adaramola,40,Crystal Palace,CRY,DEF
56,Shane,Duffy,41,Brighton,BHA,DEF
59,Lewis,Dunk,48,Brighton,BHA,DEF
61,Adam,Webster,43,Brighton,BHA,DEF
62,Joël,Veltman,42,Brighton,BHA,DEF
68,Bernardo,Fernandes Da Silva Junior,40,Brighton,BHA,DEF
71,Tariq,Lamptey,45,Brighton,BHA,DEF
536,Michal,Karbownik,40,Brighton,BHA,DEF
560,Haydon,Roberts,39,Brighton,BHA,DEF
584,Marc,Cucurella,50,Brighton,BHA,DEF
653,Ed,Turns,40,Brighton,BHA,DEF
712,Odeluga,Offiah,40,Brighton,BHA,DEF
428,Willy,Boly,49,Wolves,WOL,DEF
429,Conor,Coady,48,Wolves,WOL,DEF
431,Romain,Saïss,50,Wolves,WOL,DEF
432,Fernando,Marçal,42,Wolves,WOL,DEF
433,Jonathan,Castro Otto,45,Wolves,WOL,DEF
437,Nélson,Cabral Semedo,48,Wolves,WOL,DEF
439,Max,Kilman,46,Wolves,WOL,DEF
443,Ki-Jana,Hoever,39,Wolves,WOL,DEF
446,Yerson,Mosquera Valdelamar,44,Wolves,WOL,DEF
470,Rayan,Ait Nouri,44,Wolves,WOL,DEF
549,Christian,Marques,40,Wolves,WOL,DEF
635,Hugo,Bueno,40,Wolves,WOL,DEF
685,Toti António,Gomes,45,Wolves,WOL,DEF
686,Dion,Sanderson,40,Wolves,WOL,DEF
249,Kyle,Walker,54,Man City,MCI,DEF
252,John,Stones,52,Man City,MCI,DEF
253,Benjamin,Mendy,52,Man City,MCI,DEF
256,João Pedro Cavaco,Cancelo,70,Man City,MCI,DEF
258,Nathan,Aké,47,Man City,MCI,DEF
259,Aymeric,Laporte,58,Man City,MCI,DEF
262,Rúben Santos,Gato Alves Dias,62,Man City,MCI,DEF
264,Oleksandr,Zinchenko,53,Man City,MCI,DEF
603,Luke,Mbete,39,Man City,MCI,DEF
604,Joshua,Wilson-Esbrand,39,Man City,MCI,DEF
651,Conrad,Egan-Riley,40,Man City,MCI,DEF
290,Brandon,Williams,39,Norwich,NOR,DEF
319,Grant,Hanley,44,Norwich,NOR,DEF
321,Sam,Byram,44,Norwich,NOR,DEF
324,Christoph,Zimmermann,44,Norwich,NOR,DEF
326,Max,Aarons,43,Norwich,NOR,DEF
327,Jacob,Sørensen,43,Norwich,NOR,DEF
